Date;Close
8.08.2019;11966,4
9.08.2019;11862,9
10.08.2019;11354
11.08.2019;11523,6
12.08.2019;11382,6
13.08.2019;10895,8
14.08.2019;10051,7
15.08.2019;10311,6
16.08.2019;10374,3
17.08.2019;10231,7
18.08.2019;10345,8
19.08.2019;10916,1
20.08.2019;10763,2
21.08.2019;10138,1
22.08.2019;10131,1
23.08.2019;10408
24.08.2019;10160
25.08.2019;10138,5
26.08.2019;10370,8
27.08.2019;10185,5
28.08.2019;9754,4
29.08.2019;9510,2
30.08.2019;9598,2
31.08.2019;9630,7
1.09.2019;9758
2.09.2019;10346,8
3.09.2019;10623,5
4.09.2019;10594,5
5.09.2019;10575,5
6.09.2019;10353,3
7.09.2019;10517,3
8.09.2019;10441,3
9.09.2019;10335
10.09.2019;10116
11.09.2019;10178,4
12.09.2019;10410,1
13.09.2019;10360,6
14.09.2019;10358,1
15.09.2019;10347,7
16.09.2019;10276,8
17.09.2019;10241,3
18.09.2019;10198,3
19.09.2019;10266,4
20.09.2019;10181,6
21.09.2019;10019,7
22.09.2019;10070,4
23.09.2019;9729,3
24.09.2019;8620,6
25.09.2019;8487
26.09.2019;8119
27.09.2019;8251,9
28.09.2019;8245,9
29.09.2019;8104,2
30.09.2019;8293,9
1.10.2019;8343,3
2.10.2019;8393
3.10.2019;8260
4.10.2019;8205,9
5.10.2019;8151,5
6.10.2019;7988,2
7.10.2019;8245,6
8.10.2019;8228,8
9.10.2019;8595,7
10.10.2019;8586,5
11.10.2019;8321,8
12.10.2019;8336,6
13.10.2019;8321
14.10.2019;8374,7
15.10.2019;8205,4
16.10.2019;8047,5
17.10.2019;8103,9
18.10.2019;7973,2
19.10.2019;7988,6
20.10.2019;8222,1
21.10.2019;8243,7
22.10.2019;8078,2
23.10.2019;7514,7
24.10.2019;7493,5
25.10.2019;8660,7
26.10.2019;9245
27.10.2019;9551,7
28.10.2019;9256,2
29.10.2019;9427,7
30.10.2019;9205,7
31.10.2019;9199,6
1.11.2019;9261,1
2.11.2019;9324,7
3.11.2019;9235,4
4.11.2019;9412,6
5.11.2019;9342,5
6.11.2019;9360,9
7.11.2019;9267,6
8.11.2019;8804,9
9.11.2019;8813,6
10.11.2019;9055,5
11.11.2019;8757,8
12.11.2019;8815,7
13.11.2019;8808,3
14.11.2019;8708,1
15.11.2019;8492
16.11.2019;8550,8
17.11.2019;8578
18.11.2019;8309,3
19.11.2019;8206,2
20.11.2019;8027,3
21.11.2019;7642,8
22.11.2019;7296,6
23.11.2019;7397,8
24.11.2019;7047,9
25.11.2019;7146,1
26.11.2019;7218,4
27.11.2019;7531,7
28.11.2019;7463,1
29.11.2019;7761,2
30.11.2019;7569,6
1.12.2019;7424,3
2.12.2019;7322
3.12.2019;7320,2
4.12.2019;7252
5.12.2019;7448,3
6.12.2019;7547
7.12.2019;7556,2
8.12.2019;7564,4
9.12.2019;7400,9
10.12.2019;7278,1
11.12.2019;7217,4
12.12.2019;7243,1
13.12.2019;7269,7
14.12.2019;7124,7
15.12.2019;7152,3
16.12.2019;6932,5
17.12.2019;6640,5
18.12.2019;7276,8
19.12.2019;7202,8
20.12.2019;7218,8
21.12.2019;7191,2
22.12.2019;7511,6
23.12.2019;7355,6
24.12.2019;7322,5
25.12.2019;7275,2
26.12.2019;7239
27.12.2019;7290,1
28.12.2019;7318
29.12.2019;7422,7
30.12.2019;7293
31.12.2019;7193,6
1.01.2020;7200,2
2.01.2020;6985,5
3.01.2020;7344,9
4.01.2020;7410,7
5.01.2020;7411,3
6.01.2020;7769,2
7.01.2020;8163,7
8.01.2020;8079,9
9.01.2020;7879,1
10.01.2020;8166,6
11.01.2020;8037,5
12.01.2020;8192,5
13.01.2020;8144,2
14.01.2020;8827,8
15.01.2020;8807
16.01.2020;8723,8
17.01.2020;8929
18.01.2020;8942,8
19.01.2020;8706,3
20.01.2020;8657,6
21.01.2020;8745,9
22.01.2020;8680,9
23.01.2020;8406,5
24.01.2020;8445,4
25.01.2020;8367,9
26.01.2020;8596,8
27.01.2020;8909,8
28.01.2020;9358,6
29.01.2020;9316,6
30.01.2020;9509
31.01.2020;9350,5
1.02.2020;9392,9
2.02.2020;9344,4
3.02.2020;9293,5
4.02.2020;9181
5.02.2020;9613,4
6.02.2020;9729,8
7.02.2020;9795,9
8.02.2020;9865,1
9.02.2020;10116,7
10.02.2020;9856,6
11.02.2020;10208,2
12.02.2020;10326,1
13.02.2020;10214,4
14.02.2020;10312,1
15.02.2020;9889,4
16.02.2020;9934,4
17.02.2020;9690,1
18.02.2020;10142
19.02.2020;9633,4
20.02.2020;9608,5
21.02.2020;9686,4
22.02.2020;9663,2
23.02.2020;9924,5
24.02.2020;9650,2
25.02.2020;9341,7
26.02.2020;8820,5
27.02.2020;8784,5
28.02.2020;8672,5
29.02.2020;8599,5
1.03.2020;8562,5
2.03.2020;8869,7
3.03.2020;8787,8
4.03.2020;8755,3
5.03.2020;9078,8
6.03.2020;9122,6
7.03.2020;8910
8.03.2020;8108,1
9.03.2020;7923,6
10.03.2020;7909,7
11.03.2020;7911,4
12.03.2020;4970,8
13.03.2020;5563,7
14.03.2020;5200,4
